question,answer,llm_answer,is_correct
"Five dozens of people are attending your family reunion. Your family was assigned to bring the cans of soda. Each box of soda contains 10 cans and costs $2 per box. It was assumed that each person can consume 2 cans of soda. If you are six in the family and agreed to pay equally for the cost, how much will each of your family members pay?","Five dozens of people is equal to 5 x 12 = <<5*12=60>>60.
60 x 2 = <<60*2=120>>120 cans of soda are needed.
So, this means 120/10 = <<120/10=12>>12 boxes of soda must be purchased.
Thus, it will amount to $2 x 12 = $<<24=24>>24.
Therefore, each family member will pay $24/6 = $<<24/6=4>>4.
#### 4",12,False
"Annalise was sent by her mother to the store to buy 10 boxes of Kleenex Ultra Soft Facial Tissues. If each box has 20 packs of tissues and each pack contain 100 tissues sold at five cents each, calculate the total amount of money Annalise spent to buy the ten boxes.","If a box of tissue has 20 packs of tissues, ten boxes have 20 packs/box * 10 boxes = <<20*10=200>>200 packs
Since each pack has 100 tissues, Annalise bought 100 tissues/pack * 200 packs = <<100*200=20000>>20000 tissues.
Annalise bought 20000 tissues at five cents each, at a total cost of 20000 tissues * $0.05 = $<<20000*0.05=1000>>1000
#### 1000",100000,False
"Selena got a tip today that amounted to $99. She pampered herself by eating at a 5-star hotel. She indulged herself with 2 steak meals that cost $24 each plate. She also ordered 2 types of burgers which cost $3.5 each, and 3 cups of ice cream which cost $2 each. How much money will Selena be left with?","Selena was charged $24 x 2 = $<<24*2=48>>48 for the steaks.
She was charged $3.5 x 2 = $<<3.5*2=7>>7 for the burgers.
She was charged $2 x 3 = $<<2*3=6>>6 for the cups of ice cream.
She was charged $48 + $7 + $6 = $<<48+7+6=61>>61 in total.
Therefore, Selena was left with $99 - $61 = $<<99-61=38>>38.
#### 38",60,False
"Martin is organizing a party, and he invited many of his colleagues. He invited 5 people from his hometown and twice as many people from his school. Martin invited also as many people from his sports club as the sum of people invited from his hometown and his school. The remaining invitations represent 20% of the total previously mentioned. How many people can potentially come to the party Martin is organizing?","Martin invited 5 * 2 = <<5*2=10>>10 people from his school.
People from the sports club got 5 + 10 = <<5+10=15>>15 invitations.
So in total from the sports club, hometown and school, Martin invited 5 + 10 + 15 = <<5+10+15=30>>30 people.
All other invitations are 20% of the previous total, which means 20/100 * 30 = <<20/100*30=6>>6.
That means Martin invited to his party 30 + 6 = <<30+6=36>>36 people.
#### 36",45,False
"20 birds migrate on a seasonal basis from one lake to another, searching for food. If they fly from lake Jim to lake Disney in one season, which is 50 miles apart, then the next season they fly from lake Disney to lake London, 60 miles apart, calculate the combined distance all of the birds have traveled in the two seasons.","The birds' flying distance between Lake Jim through lake Disney to lake London is 50+60 = <<50+60=110>>110 miles.
Since each bird flies the 110 miles distance while migrating, the combined distance they fly together is 110*20 = <<110*20=2200>>2200 miles.
#### 2200",11000,False
"Rohan owns a 20-square meter coconut farm. Each square meter has 2 coconut trees and each tree has 6 coconuts. If the coconuts can be harvested every 3 months and each coconut costs $0.50, how much will he earn after 6 months?","Rohan has a total of 20 x 2 = <<20*2=40>>40 coconut trees.
And he has a total of 40 x 6 = <<40*6=240>>240 coconuts.
So, the total coconut he will have after 6 months is 240 x 2= <<240*2=480>>480.
Therefore, the total amount he will earn is 480 x $0.50 = $<<480*0.5=240>>240.
#### 240",1440,False
"Zara bought 24 cows, 7 sheep, and some goats. Next week, she will transport all of them to a new farm in 3 equally-sized groups of 48 animals per group. How many goats does she own?","Zara will transport a total of 3 * 48 = <<3*48=144>>144 animals.
The known number of animals is 24 + 7 = <<24+7=31>>31 cows and sheep.
Zara therefore has 144 - 31 = <<144-31=113>>113 goats.
#### 113",33,False
"For breakfast, Anna bought a bagel for $0.95 and a glass of orange juice for $0.85. At lunch, Anna spent $4.65 on a sandwich and $1.15 on a carton of milk. How much more money did Anna spend on lunch than on breakfast?","The total cost of breakfast is $0.95 + $0.85 = $<<0.95+0.85=1.80>>1.80.
The total cost of lunch is $4.65 + $1.15 = $<<4.65+1.15=5.80>>5.80.
Anna spent $5.80 − $1.80 = $4 more on lunch than breakfast.
#### 4",3.90,False
"Derek is watching the construction cranes downtown and is trying to figure out how much taller they have to be than the building they are building. He sees one crane that is 228 feet tall finishing a building that was 200 feet tall. He sees another that is 120 feet tall finishing a building that is 100 feet tall. The final crane he sees is 147 feet tall, finishing a building that is 140 feet tall. On average, what percentage taller are the cranes than the building?","The first crane is 14 percent taller because if 200 + 200x = 228 then x=.14
The second crane is 20 percent taller because if 100 + 100x = 120 then x = .2
The third crane is 5 percent taller because if 140 + 140x = 147 then x = .5
The total percent is 39 because 14 + 20 + 5 = <<14+20+5=39>>39
The average percent greater the height of the crane is than the building is 13 because 39 / 3 = <<39/3=13>>13
#### 13",10,False
A boxer weighs 97 kg at 4 months from a fight. He is on a diet that allows him to lose 3 kg per month until the day of the fight. How much will he weigh on the day of the fight?,"In 4 months, he will lose 3 x 4 = <<3*4=12>>12 kilograms.
So his weight will be 97 – 12 = <<97-12=85>>85 kilograms.
#### 85",85,True
"After tests in California, the total number of Coronavirus cases was recorded as 2000 positive cases on a particular day. The number of cases increased by 500 on the second day, with 50 recoveries. On the third day, the total number of new cases spiked to 1500 with 200 recoveries. What's the total number of positive cases after the third day?","When 500 new cases were recorded after the tests, the total number of positive cases increased to 2000 cases + 500 cases = <<2000+500=2500>>2500 cases.
With 50 recoveries, the total number of cases reduced to 2500 cases - 50 cases = <<2500-50=2450>>2450 cases.
On the third day, with 1500 new cases, the total number of cases became 2450 cases + 1500 cases = <<2450+1500=3950>>3950 cases.
If 200 people recovered from the virus, the total number of people with Coronavirus became 3950 cases - 200 cases = 3750 cases
#### 3750",3250,False
Ryan is considering buying a new multivitamin brand.  Each pill has 50 mg of Vitamin A in it.  The recommended daily serving of Vitamin A is 200 mg.  How many pills does Ryan need to hit the recommended amount for the week?,"As the daily goal is 200mg and there are 7 days in a week, this means Ryan needs to take 7*200=<<200*7=1400>>1400mg in a week.
As there is 50mg per pill, this means Ryan needs to take 1400/50= <<1400/50=28>>28 pills every week.
#### 28",#### 28,True
"Hannah's AdBlock blocks all but 20% of ads, and 20% of the ads it doesn't block are actually interesting. What percentage of ads aren't interested and don't get blocked?","First find the percentage of ads that aren't interesting: 100% - 20% = 80%
Then multiply that percentage by the percentage of ads that don't get blocked to find the percentage of ads that meet both criteria: 80% * 20% = 16%
#### 16",16,True
"Olivia gave William 10 napkins. Amelia also gives William twice the number of napkins Olivia gave him. If William had 15 napkins before, how many napkins does he have now?","After Olivia gave William 10 napkins, he ends up with 15+10= <<10+15=25>>25 napkins.
Amelia gives William twice the number of napkins given to him by Amelia which is 2*10 = <<2*10=20>>20 napkins.
The total number of napkins William has now is 20+25 = <<20+25=45>>45 napkins.
#### 45",35,False
"Milena is 7 years old, and her grandmother is 9 times older than her. Milena's grandfather is two years older than her grandmother. What is the age difference between Milena and her grandfather?","Milena's grandmother is 7 * 9 = <<7*9=63>>63 years old.
Her grandfather is 63 + 2 = <<63+2=65>>65 years old.
So the age difference between Milena and her grandfather is 65 - 7 = <<65-7=58>>58 years.
#### 58",56,False
"Georgie is a varsity player on a football team. He can run 40 yards within 5 seconds. If he can improve his speed by forty percent, how many yards will he be able to run within 10 seconds?","The additional yard he will be able to run to after improving his speed is 40 x 40/100 = <<40*40/100=16>>16 yards.
So the total yard he will be able to run to after improving his speed is 40 + 16 = <<40+16=56>>56 yards in 5 seconds.
Therefore the total yards he will be able to run to within 10 seconds is 56 x 2 = <<56*2=112>>112.
#### 112",112,True
"Ronald is rolling a die and won't stop rolling until the average of all his rolls is a 3. He rolls a 1, a 3, a 2, a 4, a 3, a 5, a 3, a 4, a 4 and a 2. What does he need to roll on the next roll to be able to stop?","The next roll will be his 11th roll.
The total on this tenth roll to have an average of 3 is 33, because 3 * 11 = <<33=33>>33
His current total is 31 because 1 + 3 + 2 + 4 + 3 + 5 + 6 + 1 + 4 + 2= <<1+3+2+4+3+5+6+1+4+2=31>>31
He needs to roll a 2 because 33 - 31 = <<33-31=2>>2
#### 2",3,False
"Cori is 3 years old today.  In 5 years, she will be one-third the age of her aunt.  How old is her aunt today?","In 5 years, Cori will be 3 + 5 = <<3+5=8>>8 years old.
In 5 years, Cori’s aunt will be 8 x 3 = <<8*3=24>>24 years old.
Today, her aunt is 24 - 5 = <<24-5=19>>19 years old.
#### 19",#### 23,False
"Sam and Jeff had a skipping competition at recess. The competition was split into four rounds. Sam completed 1 more skip than Jeff in the first round. Jeff skipped 3 fewer times than Sam in the second round. Jeff skipped 4 more times than Sam in the third round. Jeff got tired and only completed half the number of skips as Sam in the last round. If Sam skipped 16 times in each round, what is the average number of skips per round completed by Jeff?","In round one, Jeff completed 16 - 1 = <<16-1=15>>15.
In round two, Jeff completed 16 - 3 = <<16-3=13>>13.
In round three, Jeff completed 16 + 4 = <<16+4=20>>20.
In round four, Jeff completed 16 / 2 = <<16/2=8>>8.
Jeff completed 15 + 13 + 20 + 8 = <<15+13+20+8=56>>56 skips in total.
Jeff skipped an average of 56 / 4 = <<56/4=14>>14 skips per round.
#### 14",#### 12,False
"In one of the building blocks at Oakland High there are 5 classes. Each class uses 2 whiteboards each and each whiteboard needs about 20ml of ink for a day's use. If ink costs 50 cents per ml, how much (in dollars) would it cost to use the boards for one day?","Each ml of ink costs 50 cents so 20 ml costs 20*50 = <<20*50=1000>>1000 cents
There are 2 whiteboards in each class so each class needs 2*1000 cents = <<2*1000=2000>>2000 cents
There are five classes in the block so they all need 5*1*2000 cents = <<5*1*2000=10000>>10000 cents
100 cents make a dollar so 10000 cents make 10000/100 = $<<10000/100=100>>100
#### 100",5,False
"Jane's goal is to exercise 1 hour a day, 5 days a week.  If she hits her goal weekly for 8 weeks, how many hours has Jane exercised?","Her goal is 1 hour a day for 5 days so on a weekly basis, she exercises 1*5 = <<1*5=5>>5 hours
If she works 5 hours a week for 8 weeks then she exercises 5*8 = <<5*8=40>>40 hours in 8 weeks
#### 40",####40,True
"Tricia ordered three dozen eggs. She will use 1/4 of them for making crepes, and 2/3 of the remaining for making cupcakes. How many eggs are left to make sunny-side-up eggs for breakfast?","Since a dozen is equal to 12, then 3 dozen eggs are equal to 12 x 3 = <<3*12=36>>36 eggs.
Tricia will use 36 x 1/4 = <<36*1/4=9>>9 eggs for making crepes.
So there are 36 - 9 = <<36-9=27>>27 eggs left.
27 x 2/3 = <<27*2/3=18>>18 eggs will be used for making cupcakes.
Thus, there are only 27 - 18 = <<27-18=9>>9 eggs left to make sunny-side-up eggs for breakfast.
#### 9",12,False
"Rachel drinks 2 glasses of water on Sunday and 4 glasses of water on Monday. Then she drinks 3 glasses of water every day for the next 4 days. One glass of water is 10 ounces of water. If Rachel wants to drink a total of 220 ounces of water in the week (Sunday to Saturday), how many glasses of water should she drink on Saturday?","From Sunday and Monday, Rachel drinks 2 + 4 = <<2+4=6>>6 glasses of water
From Tuesday to Friday, Rachel drinks 3 * 4 = <<3*4=12>>12 glasses of water
The total glasses of water she drinks from Sunday to Friday is 6 + 12 = <<6+12=18>>18 glasses of water
The total ounces of water she drinks from Sunday to Friday is 18 * 10 = <<18*10=180>>180 ounces
The ounces of water she should drink on Saturday is 220 - 180 = <<220-180=40>>40 ounces
The glasses of water she should drink on Saturday is 40 / 10 = <<40/10=4>>4 glasses of water
#### 4",10,False
"Jack collects all his neighbors' recycling and sorts out the cans and bottles to return for the deposit. He gets 10 cents per bottle and 5 cents per can. If he recycled 80 bottles and made $15, how many cans did he recycle?","First find the total amount Jack earned from the bottles: $0.10/bottle * 80 bottles = $<<0.10*80=8.00>>8.00
Then subtract that amount from his total earnings to find the amount he earned from cans: $15.00 - $8.00 = $<<15-8=7.00>>7.00
Then divide his total earnings from cans by his earnings per can to find the number of cans he recycled: $7.00 / $0.05/can = <<7/0.05=140>>140 cans
#### 140",#### 140,True
"Rollo has 3 guinea pigs, the first guinea pig eats 2 cups of food, the second guinea pig eats twice as much as the first one, and the third guinea pig eats 3 cups more than the second one. How many cups of food does Rollo need to feed all his Guinea pigs?","The second guinea pig eats 2 x 2 = <<2*2=4>>4 cups of food.
The third guinea pig eats 4 + 3 = <<4+3=7>>7 cups of food.
Therefore, Rollo needs a total of 2 + 4 + 7 = <<2+4+7=13>>13 cups of food for the guinea pig.
#### 13",11,False
Alexis can sew a skirt in 2 hours and a coat in 7 hours. How long does it take for Alexis to sew 6 skirts and 4 coats?,"It takes Alexis 2 x 6 = <<2*6=12>>12 hours to sew 6 skirts
It takes Alexis another 7 x 4 = <<7*4=28>>28 hours to sew 4 coats.
In total it takes Alexis 12 + 28 = <<12+28=40>>40 hours to sew 6 skirts and 4 coats.
#### 40",40,True
"Catriona has 8 goldfish in her aquarium. She has 4 more angelfish than goldfish. Also, she has twice as many guppies as angelfish. How many fish does Catriona have in her aquarium?","Catriona has 8 + 4 = <<8+4=12>>12 angelfish.
She also has 12 x 2 = <<12*2=24>>24 guppies.
Thus, she has 8 + 12 + 24 = <<8+12+24=44>>44 fish in her aquarium.
#### 44",36,False
Jamie and Oliver are planning to go on a vacation. A plane ticket costs $24 for each person and a hotel stay costs $12 for each person per day. How much money will they spend on the vacation if they stay for 3 days?,"Jamie and Oliver will spend $24 x 2 = $<<24*2=48>>48 for the plane ticket.
They will spend $12 x 2 = $<<12*2=24>>24 for staying in the hotel per day.
So, the total amount they will spend on the hotel for a 3-day stay is $24 x 3 = $<<24*3=72>>72.
Therefore, the total amount they will spend on their vacation is $72 + $48 = $<<72+48=120>>120.
#### 120",108,False
"Louise is hanging 30 of her pictures on the wall. She hangs some of them vertically, half of them horizontally, then hangs the remaining 5 pictures haphazardly. How many pictures did Louise hang vertically?","There are 30 / 2 = <<30/2=15>>15 pictures hanging horizontally.
So there is a total of 15 + 5 = <<15+5=20>>20 pictures hanging either horizontally or haphazardly.
Therefore, there are 30 – 20 = <<30-20=10>>10 pictures hanging vertically.
#### 10",5,False
"An old pirate wants to leave his treasure on an island. He has 3500 gold coins. He wants to spread this equally across 5 chests. Additionally, he will put a total of 500 silver coins and twice as many bronze coins as silver, all distributed equally across the chests. How many coins in total will be in each chest?","There will be 3500 gold coins / 5 chest= <<3500/5=700>>700 gold coins in every chest.
So, there will be 500 silver coins / 5 chests = <<500/5=100>>100 silver coins in each chest.
Then, the number of bronze coins is double the number of silver coins, so there are 2 * 500 = <<2*500=1000>>1000 bronze coins.
So there will be 1000 bronze coins / 5 chests = <<1000/5=200>>200 bronze coins in each chest.
Finally, the total number of coins in every chest will be 700 gold coins + 100 silver coins + 200 bronze coins = <<700+100+200=1000>>1000 coins.
#### 1000",1200,False
"On a weekend road trip, the Jensen family drove 210 miles on highways, where their car gets 35 miles for each gallon of gas and 54 miles on city streets where their car gets 18 miles for each gallon. How many gallons of gas did they use?","On highways, the Jensen family used 210 miles / 35 miles/gallon = <<210/35=6>>6 gallons of gas.
On city streets, the Jensen family used 54 miles / 18 miles/gallon = <<54/18=3>>3 gallons of gas.
Total, the Jensen family used 6 gallons + 3 gallons = <<6+3=9>>9 gallons of gas.
#### 9",9,True
"A pumpkin patch allows people to come pick pumpkins to carve in the fall every year. They charge $3 per person for a pumpkin. The remaining pumpkins get turned into cans of pie filling, 3 pumpkins to a can. They grew 83 pumpkins this year and made $96 selling pumpkins for carving. How many cans of pie filling will the pumpkin patch produce?","The pumpkin patch sold 96 / 3 = <<96/3=32>>32 pumpkins.
They have 83 - 32 = <<83-32=51>>51 pumpkins left.
Thus, the pumpkin patch will produce 51 / 3 = <<51/3=17>>17 cans of pie filling.
#### 17",25,False
"A bag of pistachios has 80 pistachios in it.  95 percent have shells, and 75 percent of those have shells that are opened.  How many pistachios in the bag have shells and have an opened shell?","Shells:80(.95)=76
Opened Shells:76(.75)=57
#### 57",60,False
"Dante needs half as many cups of flour to bake his chocolate cake as he needs eggs. If he uses 60 eggs in his recipe, calculate the total number of cups of flour and eggs that he uses altogether.","Dante needs half as many cups of flour to bake his chocolate cake as he needs eggs, meaning he needs 60/2 = <<60/2=30>>30 cups of flour for his recipe.
Altogether, Dante needs 30+60 = <<30+60=90>>90 eggs and cups of flour for his recipe.
#### 90",90,True
"Michael is stuck in an elevator that is slowly moving to the bottom floor. The elevator needs to move down 20 floors to reach the bottom. It takes 15 minutes for the elevator to travel down the first half of the floors. The elevator then takes 5 minutes per floor to travel down the next 5 floors. It then takes 16 minutes per floor for the elevator to finish traveling down the final 5 floors. In hours, how long did it take for the elevator to reach the bottom?","Over 5 of the floors, it takes the elevator 5 floors * 5 minutes per floor = <<5*5=25>>25 minutes to lower.
Over the final 5 floors, it takes the elevator 5 floors * 16 minutes per floor = <<5*16=80>>80 minutes to lower.
So in total, the elevator takes 15 minutes in the first half + 25 minutes in the next five floors + 80 minutes in the final five floors = <<15+25+80=120>>120 minutes to lower to the bottom.
This is the same as 120 minutes / 60 minutes per hour = <<120/60=2>>2 hours.
#### 2",10.5,False
"Allison went to the craft store with her friend Marie to buy some glue sticks and construction paper. Allison bought 8 more glue sticks than Marie, but Marie bought six times as many packs of construction paper as Allison. If Marie bought 15 glue sticks and 30 packs of construction paper how many craft supply items did Allison buy all together?","Allison bought 8+15=<<8+15=23>>23 glue sticks
Allison bought 30/6=<<30/6=5>>5 packs of construction paper.
Allison bought 23+5= <<23+5=28>>28 craft supply items
#### 28",33,False
James turned 23 the same time John turned 35.  Tim is 5 years less than twice John's age.  If Tim is 79 how old is James?,"James is 35-23=<<35-23=12>>12 years younger than John
5 years less than Tim's age is 79-5=74 years old
So John is 74/2=<<74/2=37>>37 years old
That means James is 37-12=<<37-12=25>>25 years old
#### 25",73,False
"Antonia is trying to improve her health by buying supplements. She has a 7-day pill box she wants to fill. She buys 5 different supplements. 3 of the bottles have 120 pills in them each. 2 of the bottles have 30 pills each. After Antonia has filled her pillbox with one pill of each supplement for 2 weeks, how many pills total does she have left from all 5 bottles?","Antonia buys 5 different supplements where 3 bottles have 120 pills per bottle, so she has 120 pills x 3 bottles = 360 pills.
2 of the bottles Antonia buys have 30 pills each x 2 bottles = <<30*2=60>>60 pills.
She has purchased 360 pills + 60 pills = <<360+60=420>>420 pills total in the 5 bottles.
Antonia has filled her 7-day pill box for 2 weeks, so 7 days x 2 weeks = <<7*2=14>>14 days.
On each of the 14 days she fills it with 5 pills, so after 14 days she has used 14 x 5 = <<14*5=70>>70 pills.
Since Antonia had 420 total pills in all 5 bottles and then she fills her pillbox with 70 pills, she has 420 - 70 = <<420-70=350>>350 pills.
Antonia will have 350 pills left after 2 weeks.
#### 350",#### 180,False
"Brendan can cut 8 yards of grass per day, he bought a lawnmower and it helped him to cut more yards by Fifty percent per day. How many yards will Brendan be able to cut after a week?","The additional yard Brendan can cut after buying the lawnmower is 8 x 0.50 = <<8*0.50=4>>4 yards.
So, the total yards he can cut with the lawnmower is 8 + 4 = <<8+4=12>>12.
Therefore, the total number of yards he can cut in a week is 12 x 7 = <<12*7=84>>84 yards.
#### 84",126,False
"At a roller derby, 4 teams are competing. Each team is made up of 10 members, and each member needs a pair of roller skates to compete in and another pair of skates as a backup. None of the skates have laces yet, so each member is offered 3 sets of laces per pair of skates. How many sets of laces have been handed out?","There are a total of 4 teams * 10 members per team = <<4*10=40>>40 team members.
Each person receives 1 pair of competing roller skates + 1 pair of backup roller skates = <<1+1=2>>2 pairs of roller skates.
So there are a total of 40 team members * 2 pairs of roller skates per team member = <<40*2=80>>80 roller skates.
There were therefore 80 roller skates * 3 sets of laces per pair of roller skates = <<80*3=240>>240 sets of laces handed out.
#### 240",1200,False
"Over several years, Daniel has adopted any stray animals he sees on the side of the road.  He now has 2 horses, 5 dogs, 7 cats, 3 turtles, and 1 goat.  All of the animals are perfectly healthy.  In total, how many legs do his animals have?","He has 2 horses, 5 dogs, 7 cats, 3 turtles and 1 goat so in total he has 2+5+7+3+1 = <<2+5+7+3+1=18>>18 animal
Each animal has 4 legs so 18*4 = <<18*4=72>>72 legs total
#### 72",60,False
"Sam the butcher made sausage by grinding up 10 pounds of spicy meat mix, loading it into a tube casing, and creating a string of 40 sausage links. Then, she hung up the string of sausage links in her cooler.  Later that evening, Brandy, Sam’s Golden Retriever, broke into the cooler and ate 12 links of sausage.  After Brandy’s feast, how many ounces of sausage meat were contained in the remaining links?","There are 16 ounces in one pound, and thus in 10 pounds of meat mix there are 10*16=<<10*16=160>>160 ounces of sausage meat.
Thus, the 40 sausage links contained 160 ounces of meat, or 160/40=<<160/40=4>>4 ounces per link.
If Brandy ate 12 links, then 40-12=<<40-12=28>>28 links remained.
Thus, 28 remaining links, at 4 ounces per link, contained 28*4=<<28*4=112>>112 ounces of meat.
#### 112",128,False
"Joe had 200 data points on his dataset. He then added 20% more data points to the dataset. If he reduced the data points by 1/4 of the total data points, calculate the total number of data points the dataset contains.","When Joe added 20% more data points to the dataset, the data points in the dataset increased by 20/100*200 = <<20/100*200=40>>40 data points.
The total number of data points increased to 200+40 = <<200+40=240>>240
If he reduced the data points by 1/4 of the total data points, the data points reduced by 1/4*240 =60
The total number of data points left in the dataset after Joe reduced the data points by 1/4 of the total data points is 240-60= <<240-60=180>>180
#### 180",175,False
The selling price of a bicycle that had sold for $220 last year was increased by 15%. What is the new price?,"The price of the bicycle increased by $220 * 15/100 = $<<220*15/100=33>>33.
Adding the increment price, the new price is $220 + $33 = $<<220+33=253>>253.
#### 253",253,True
"Meadow has a business that sells baby diapers to her local townspeople. She orders 30 boxes of diapers containing 40 packs weekly, with each pack having 160 diapers. She sells each diaper for $5. How much money is Meadow making from selling all her diapers?","When she orders 30 boxes, the total number of packs in the boxes is 30*40 = <<30*40=1200>>1200 packs.
If a pack has 160 diapers, 1200 packs contain 1200*160 = <<1200*160=192000>>192000 diapers.
After selling all the diapers, Meadow gets 192000*$5 = $<<192000*5=960000>>960000
#### 960000",960000,True
Percy swims 1 hour before school and 1 after school 5 days a week.  He swims 3 hours on the weekend.  How many hours of swimming does he do over 4 weeks?,"He swims 1 hour before and after school for a total of 1+1 = <<1+1=2>>2 hours
He swims 2 hours a day for 5 days for a total of 2*5 = <<2*5=10>>10 hours
He also swims an additional 3 hours on the weekend so 10+3 = <<10+3=13>>13 hours
Over a course of 4 weeks, at 13 hours per week, he swims 4*13 = <<4*13=52>>52 hours
#### 52",#### 52,True
"If the sum of two numbers is 33, and if the second number is twice the first number, what is the second number?","The first number is 33/3=<<33/3=11>>11.
The second number is 11*2=<<11*2=22>>22.
#### 22",22,True
Matthew drinks 4 glasses of water per day. Each glass is 5 ounces. He decides to just buy a 35 ounces water bottle. How many times will he fill it each week?,"He drinks 20 ounces of water a day because 4 x 5 = <<4*5=20>>20
The drinks 140 ounces in a week because 7 x 20 = <<7*20=140>>140
He will fill it up 4 times because 140 / 35 = <<140/35=4>>4
#### 4",#### 5,False
"Cathy and Chris got summer jobs at the cake shop and were supposed to work 20 hours per week each for 2 months. During that time, Chris got sick for one week and Cathy took her shifts. If there are four weeks in a month, how many hours did Cathy work during the 2 months?","There are 4 weeks in a month so Cathy and Chris were supposed to work for 4 weeks/month x 2 months = <<4*2=8>>8 weeks each.
Since Chris got sick then Chris was only able to work for 8 weeks - 1 week = 7 weeks while Cathy worked for 8 weeks + 1 week = 9 weeks.
Therefore, Cathy worked for 9 weeks x 20 hours/week = <<9*20=180>>180 hours.
#### 180",160,False
